Legajo;Nombre;Clasificación;Tipo
11581;VERÓNICA REIG TURISMO;Empresa de Viajes y Turismo;Emisivo
11677;RISCO VIAJES;Empresa de Viajes y Turismo;Otro
11749;OPERADORES MENDOZA VIAJES;Empresa de Viajes y Turismo;Emisivo,Receptivo,Tour Operador,Mayorista,Otro
11802;AIRES DE LIBERTAD;Empresa de Viajes y Turismo;Emisivo,Receptivo
11803;PATRICIA PORTA VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
11809;ORTUBIA TRAVEL;Agencia de Viajes y Turismo;Otro
11825; TRIPS SUDAMERICANA;Empresa de Viajes y Turismo;Otro
11827;AILLANTU VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
11884;MARTUR;Agencia de Viajes y Turismo;Emisivo,Receptivo,Emite Pasajes (IATA),Tour Operador,Mayorista,Otro
11915;PARED SUR;Empresa de Viajes y Turismo;Otro
11916;TURISMO TRASANDINO;Empresa de Viajes y Turismo;Otro
11988;CHASMA TOURS;Empresa de Viajes y Turismo;Otro
12038;VIA SANSONE TOUR ;Empresa de Viajes y Turismo;Otro
12075;TIERRAS ANDINAS;Empresa de Viajes y Turismo;Otro
12092; SOUTH TREKKING TRAVEL;Empresa de Viajes y Turismo;Receptivo,Mayorista
12109;CHOCOLATE VIAJES Y TURISMO;Empresa de Viajes y Turismo;Emisivo,Receptivo
12194;ORBE TRAVEL;Empresa de Viajes y Turismo;Emisivo,Emite Pasajes (IATA)
12228;AGAPE TOURS;Empresa de Viajes y Turismo;Otro
12402;LATINA REAL TOURS;Empresa de Viajes y Turismo;Emisivo
12592;ARE EXPEDICIONES;Empresa de Viajes y Turismo;Receptivo,Estudiantil
12657;KETEK;Empresa de Viajes y Turismo;Receptivo,Tour Operador
12664;ACONCAGUA;Empresa de Viajes y Turismo;Otro
12769;PIEDRAS Y CAMINOS;Empresa de Viajes y Turismo;Otro
12830;CONO SUR;Empresa de Viajes y Turismo;Otro
12854;IGMAR VIAJES;Empresa de Viajes y Turismo;Otro
12880;VIAJE FACIL;Empresa de Viajes y Turismo;Otro
12921;LA MOCHILERA;Empresa de Viajes y Turismo;Otro
12976;SILCAS VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
12997;CHOIQUE TURISMO ALTERNATIVO;Empresa de Viajes y Turismo;Receptivo
13000;PRODUCTO CACHEUTA;Empresa de Viajes y Turismo;Otro
13002;MALUFA;Empresa de Viajes y Turismo;Otro
13013;GEOVIX VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
13016;SERGIO NAVARRO;Empresa de Viajes y Turismo;Otro
13061;UNIVERSIDAD NACIONAL DE CUYO;Empresa de Viajes y Turismo;Otro
13091;MEX TRAVEL;Empresa de Viajes y Turismo;Otro
13225;CEPAS SERVICIOS TURISTICOS;Empresa de Viajes y Turismo;Otro
13231;CAMPANARIO SERVICIOS TURISTICOS;Empresa de Viajes y Turismo;Otro
13233;TURISMO WALCAMAU;Empresa de Viajes y Turismo;Otro
13258;IBARRAK;Empresa de Viajes y Turismo;Otro
13292;RUTA DEL ORO;Empresa de Viajes y Turismo;Otro
