Legajo;Nombre;Clasificación;Tipo
19096;MENDOZA WINE COMCIERGE;Empresa de Viajes y Turismo;Receptivo
19103;VIA MENDOZA TOURS;Empresa de Viajes y Turismo;Receptivo
19141;TANGO SERVICIOS TURISMOS;Empresa de Viajes y Turismo;Receptivo
19166;WIPHALA SERVICIOS TURISTICOS;Empresa de Viajes y Turismo;Receptivo
19175;MENDOZA TRAVEL;Empresa de Viajes y Turismo;Receptivo
19240;MAHUEL TRAVEL;Empresa de Viajes y Turismo;Receptivo
19242;COLOR MENDOZA;Empresa de Viajes y Turismo;Receptivo
19249;VIÑEDOS Y MONTAÑAS;Empresa de Viajes y Turismo;Receptivo
19271;WINE BULANCE;Empresa de Viajes y Turismo;Receptivo
19349;THE TIMES TOURISM;Empresa de Viajes y Turismo;Receptivo
19381;ENTRE CUMBRES;Empresa de Viajes y Turismo;Receptivo
19387;MANSO TURISMO;Empresa de Viajes y Turismo;Receptivo
19390;ELITOUR TRAVEL EXPERIENCE;Empresa de Viajes y Turismo;Receptivo
19398;VINICOLAS MENDOZA;Empresa de Viajes y Turismo;Receptivo
19410;TURISMO MANCINI;Empresa de Viajes y Turismo;Receptivo
19412;DIONISIO EN MENDOZA;Empresa de Viajes y Turismo;Receptivo
19449;KALAS VIAJES Y TURISMO;Empresa de Viajes y Turismo;Receptivo
19457;WINE TRIP MENDOZA TURISMO;Empresa de Viajes y Turismo;Receptivo
19459;BRITZA VIAJES Y TURISMO;Empresa de Viajes y Turismo;Receptivo
19479;MENDOZA DESERT EXPERIENCES;Empresa de Viajes y Turismo;Receptivo
 19533;GRAFITUR VIAJES Y TURISMO;Empresa de Viajes y Turismo;Receptivo
19595;MOBILITY ROADS;Empresa de Viajes y Turismo;Receptivo
19599;VISITAME;Empresa de Viajes y Turismo;Receptivo
19601;ADMINCAR & TRAVEL;Empresa de Viajes y Turismo;Receptivo
19611;MENDOZA WINES LOVERS;Empresa de Viajes y Turismo;Receptivo
19613;R.A.C. TRASLADOS;Empresa de Viajes y Turismo;Receptivo
19615;CATALO VIAJES Y TURISMO AL MUNDO;Empresa de Viajes y Turismo;Emisivo,Receptivo
19617;VINEYARDS Y MOUNTAIN TRAVEL;Empresa de Viajes y Turismo;Receptivo
19618;MENDOZA BELMAT TOUR;Empresa de Viajes y Turismo;Receptivo
19628;PICHEUTA TURISMO;Empresa de Viajes y Turismo;Receptivo
19629;PASEOS MARCELO FABRIS;Empresa de Viajes y Turismo;Receptivo
19635;WINE FRIENDS MDZ;Empresa de Viajes y Turismo;Receptivo
19658;SOL Y AVENTURA;Empresa de Viajes y Turismo;Receptivo
19666;TRAVEL-AR;Empresa de Viajes y Turismo;Receptivo
19669;ALMA WINE;Empresa de Viajes y Turismo;Receptivo
19677;ALTURISMO;Empresa de Viajes y Turismo;Receptivo
19679;GELUK TRAVEL;Empresa de Viajes y Turismo;Receptivo
19683;NILSAN TOUR;Empresa de Viajes y Turismo;Receptivo
19700;RAMA TOURS;Empresa de Viajes y Turismo;Receptivo
19710;EXCELENT VIAJES;Empresa de Viajes y Turismo;Receptivo
19714;LATITUD MENDOZA;Empresa de Viajes y Turismo;Receptivo
19737;MIL VIAJES;Empresa de Viajes y Turismo;Receptivo
19741;UVA WINE TOURS & EXPERIENCES;Empresa de Viajes y Turismo;Receptivo
19746;GUALTA TRAVEL;Empresa de Viajes y Turismo;Receptivo
19751;ROMBEL TOURS;Empresa de Viajes y Turismo;Receptivo
19757;EXPLORA MENDOZA WINERY TOUR;Empresa de Viajes y Turismo;Receptivo
19766;MDA EXPERIENCE-PASSEIOS E TURISMO EM MENDOZA;Empresa de Viajes y Turismo;Receptivo
19783;TARA TRAVEL;Empresa de Viajes y Turismo;Receptivo
19823;PETER WINE TOURS;Empresa de Viajes y Turismo;Receptivo
19836;KRATOS TOURS;Empresa de Viajes y Turismo;Receptivo
19839;LA MAGIA DEL VINO;Empresa de Viajes y Turismo;Receptivo
19858;KUSI ÑAN VIAJES Y TURISMO;Empresa de Viajes y Turismo;Receptivo
19860;AIRES DE VID TRAVEL TOURS;Empresa de Viajes y Turismo;Receptivo
19870;S.H.R. VIAJES Y TURISMO;Empresa de Viajes y Turismo;Receptivo
19871;BELVIAJES;Empresa de Viajes y Turismo;Receptivo
19875;WINE AND PEAKS;Empresa de Viajes y Turismo;Receptivo
19876;OSMEN WINE TOURS;Empresa de Viajes y Turismo;Receptivo
19896;ALDERYS TURISMO;Empresa de Viajes y Turismo;Receptivo
19903;ANDREAD TOURS Y TRAVEL;Empresa de Viajes y Turismo;Receptivo
19912;MAGNOLIA TOURS;Empresa de Viajes y Turismo;Receptivo
19921;TERADA TOURS;Empresa de Viajes y Turismo;Receptivo
19924;TUPUNTRAVELS;Empresa de Viajes y Turismo;Receptivo
19927;GANAST VIÑEDOS Y TURISMO;Empresa de Viajes y Turismo;Receptivo
19930;MENDOZA ESSENCE;Empresa de Viajes y Turismo;Receptivo
19931;LUSO SERVICIOS TURISTICOS;Empresa de Viajes y Turismo;Receptivo
19954;MENDOZA VALE TOURS;Empresa de Viajes y Turismo;Receptivo
19974;MENDOZA AI TURISMO;Empresa de Viajes y Turismo;Receptivo
19979;GIRA EL VINO;Empresa de Viajes y Turismo;Receptivo
19997;RACIMOS TOURS;Empresa de Viajes y Turismo;Receptivo
19998;AMDRADE VIAJES Y TURISMO;Empresa de Viajes y Turismo;Receptivo
20003;GO RIDE;Empresa de Viajes y Turismo;Receptivo
20006;BELLATINO TRAVELS;Empresa de Viajes y Turismo;Receptivo
20017;VIAJES CON EMILIA;Empresa de Viajes y Turismo;Receptivo
20039;TOWDAH E.V.T.;Empresa de Viajes y Turismo;Receptivo
20080;W NEMOUNT;Empresa de Viajes y Turismo;Receptivo
