ID,Nombre,Habitaciones,Parcelas,Plazas,Cabañas,Fecha Inscripción,Departamento,Clasificación,Localidad
991,REFUGIO DEL SOL,0,0,0,0,27/06/2022,Malargue,PAT (Propiedad Alquiler Temporario),CIUDAD
992,SB WINEMAKERS HOUSE & SPA SUITES,7,0,14,0,30/06/2022,Lujan,Petit Hotel,CHACRAS DE CORIA
994,CABAÑAS 5° ESTACION,3,0,14,0,26/07/2022,Malargue,Cabañas,CIUDAD
995,SIN FIN HOSTEL,6,0,32,0,27/07/2022,Capital,Hospedaje,CIUDAD
996, CINCO CUMBRES,8,0,16,0,03/08/2022,Las Heras,Glamping,USPALLATA
997,BET-EL,3,0,14,0,27/12/2022,San Rafael,PAT (Propiedad Alquiler Temporario),RAMA CAIDA
998,ALPASION,0,0,0,0,01/01/2022,Tunuyan,Hospedaje,LOS CHACAYES
999, FINCA LA CELIA,0,0,0,0,01/01/2018,San Carlos,Hostería,EUGENIO BUSTOS
1001,CASA DE CAMPO FINCA LA SUPERIORA,3,0,7,0,08/09/2022,San Carlos,Hospedaje,LA CONSULTA
1002, CABAÑAS DEL SOL,15,0,47,0,08/09/2022,San Rafael,Cabañas,VALLE GRANDE
1003,GIMENEZ RIILI BODEGAS Y VIÑEDOS,7,0,16,0,20/05/2021,Tunuyan,Hospedaje,LOS SAUCES
1004,CABAÑAS LILI,8,0,9,0,23/09/2022,Malargue,Cabañas,CIUDAD
1005, MAPICSA,10,2,50,0,23/09/2022,Malargue,Hospedaje Rural, LAS LOICAS
1006,BOUQUET,7,0,14,0,22/08/2008,San Rafael,Hospedaje,CIUDAD
1007, HOTEL DE CIELOS,11,0,30,0,03/11/2022,Tupungato,Lodge,LA CARRERA
1008,KOSELIN,3,0,8,1,03/11/2022,Malargue,PAT (Propiedad Alquiler Temporario),CIUDAD
1009,EL CHAÑAR,0,0,0,0,28/11/2022,Lavalle,Camping,JOCOLI VIEJO
1010,ANAIA LODGE,6,0,12,0,06/12/2022,Lujan,Apart-Hotel,AGRELO
1011,PUNTO SUR,11,0,33,0,12/12/2022,Malargue,Hotel,CIUDAD
1013,RANQUIL-KO,0,0,0,0,29/12/2022,MALARGUE,Campamento,RIO GRANDE
1014,MUSEO POSADA BENELLI,5,0,10,0,08/08/2022,San Rafael,Hospedaje,SAN RAFAEL
1015,JUAN B.JUSTO,17,0,47,0,14/04/2021,Capital,Apart-Hotel,CIUDAD
1017,BUENAS TIERRAS CABAÑAS,0,0,52,10,11/01/2023,San Rafael,Cabañas,RAMA CAIDA
1020,CABAÑAS LA COSECHA,5,0,25,5,17/02/2023,San Rafael,PAT (Propiedad Alquiler Temporario),RAMA CAIDA 
1021,JOSE MANZUR,4,0,8,0,22/02/2023,Capital,PAT (Propiedad Alquiler Temporario),CIUDAD
1022,DEPARTAMENTOS LAFERTE,6,0,15,0,16/03/2023,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE 
1023,OZCAYNA,4,2,32,5,27/03/2023,Lavalle,Apart-Hotel,VILLA TULUMAYA
1025,MORITA MIA,15,4,40,9,13/04/2023,San Rafael,Cabañas,RAMA CAIDA
1026,LA SARITA,1,1,5,4,20/04/2023,San Carlos,Cabañas,LA CONSULTA
1027,EL LAGAR DE UCO,0,0,0,0,26/04/2023,San Carlos,PAT (Propiedad Alquiler Temporario),LA CONSULTA
1028,COMPLEJO TERRA,16,0,44,16,02/05/2023,Gral. Alvear,Hospedaje,GRAL. ALVEAR
1029,CORAZON MALBEC,7,0,24,0,09/05/2023,Guaymallen,Apart-Hotel,SAN JOSE
1031,LA MIA CASA,3,0,6,0,22/05/2023,Godoy Cruz,PAT (Propiedad Alquiler Temporario),GODOY CRUZ
1032,TERMAS DE CAJON GRANDE,5,0,18,0,24/05/2023,Malargue,Apart-Hotel,RIO GRANDE
1033,LOMAS DE MALBEC,30,15,60,15,31/05/2023,Capital,Apart-Hotel,CIUDAD
1034,HOTEL DALAI,34,0,96,0,07/06/2023,Guaymallen,Hotel,BERMEJO
1035,LA QUINTA FAMILY FLAT,3,0,5,0,09/06/2023,Capital,PAT (Propiedad Alquiler Temporario),CIUDAD
1036,EDIFICIO BOULEVARD,0,51,17,0,09/06/2023,San Rafael,PAT (Propiedad Alquiler Temporario),CIUDAD
1037,LAMADRID ESTATE WINE,0,4,2,0,13/06/2023,Lujan,Apart-Hotel,LAS COMPUERTAS
1038,GORILLA HOSTEL,10,0,60,0,21/06/2023,Capital,Hostel,CIUDAD
1039,EDIFICIO BOULEVARD II,15,0,30,0,01/12/2022,San Rafael,PAT (Propiedad Alquiler Temporario),CIUDAD
1040,GAIA LODGE,7,0,18,0,29/06/2023,Tupungato,Lodge,GUALTALLARY
1041,REFUGIO CLUB ANDINO PEHUENCHE,7,0,47,0,29/06/2023,Malargue,Refugio,LOS MOLLES
1042,DE PURA CEPA,1,0,4,0,07/07/2023,Guaymallen,Hospedaje Vivienda de Alquiler,SAN FRANCISCO DEL MONTE
1043,FUENTE MAYOR,51,0,106,0,17/07/1923,Guaymallen,Hotel,SAN JOSE
1045,LAS TINTAS BED Y BREAKFAST,5,0,12,0,21/07/2023,Capital,Apart-Hotel,CIUDAD
1047,LA VALTELLINA,5,0,12,5,26/07/2023,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1048,LA DIVINA PEREZA,8,0,46,0,12/07/2023,San Rafael,Cabañas,RAMA CAIDA
1049,PUEBLO ANDINO,8,0,21,5,18/07/2023,Malargue,Apart-Hotel,LOS MOLLES
1050,CABAÑAS DEL SUR Y PARRILLA DEL SUR,10,0,0,10,27/07/1923,San Rafael,Cabañas,SAN RAFAEL
1051,APART SALAS 38,9,0,25,0,02/08/2023,San Rafael,PAT (Propiedad Alquiler Temporario),SAN RAFAEL
1052,BLACK SHEEP,12,0,24,0,03/08/2023,Capital,Apart-Hotel,CIUDAD
1053,LOS MOLLES COMPLEJO,0,0,80,14,08/08/2023,Malargue,Cabañas,LOS MOLLES
1054,SAN IGNACIO ESTANCIA ANDINA,4,1,8,0,09/08/2023,Capital,Hostería,3 SECCION
1056,POSADA DE CAMPO PURA VIDA,7,0,55,5,17/10/2022,San Rafael,Posada,SAN RAFAEL
1057,POSADA NEWEN,2,0,6,0,11/09/2023,San Carlos,PAT (Propiedad Alquiler Temporario),LA CONSULTA 
1058,ENTRESOLES,10,0,20,7,22/09/2023,Las Heras,Hospedaje,SAN ALBERTO-USPALLATA
1060,TERRA CAMPO,8,0,20,0,25/09/2023,Lujan,Hospedaje,CHACRAS DE CORIA
1061,LA COMARCA,12,1,33,6,25/09/2023,Las Heras,Cabañas,USPALLATA
1062,CASA DE CAMPO SAVINA,5,0,15,1,25/09/2023,San Carlos,PAT (Propiedad Alquiler Temporario),EUGENIO BUSTOS
1063,CABAÑAS ISIDRIS,0,0,17,3,25/09/2023,Las Heras,Hospedaje,USPALLATA
